iteration;output_file;time_sec;mse;dssim;lbp_distance
1;result\abl_nz_in_100_00009271\cf4a24b1.jpg;0.544083;3061.360000;0.357340;0.025000
2;result\abl_nz_in_100_00009271\747656aa.jpg;0.524107;3187.312500;0.386971;0.037322
3;result\abl_nz_in_100_00009271\6d2b5e12.jpg;0.529850;6502.723125;0.520807;0.033912
4;result\abl_nz_in_100_00009271\a51fe8c5.jpg;0.524552;6022.508750;0.563525;0.022827
5;result\abl_nz_in_100_00009271\8cc2f932.jpg;0.539985;3929.525000;0.455699;0.029554
6;result\abl_nz_in_100_00009271\568c4c09.jpg;0.559960;6231.320625;0.484622;0.016370
7;result\abl_nz_in_100_00009271\1cf0a4de.jpg;0.545674;5705.711250;0.558163;0.037270
8;result\abl_nz_in_100_00009271\a2d0e981.jpg;0.539780;4933.455625;0.444278;0.023618
9;result\abl_nz_in_100_00009271\79b64d79.jpg;0.523193;4461.775000;0.446964;0.033831
10;result\abl_nz_in_100_00009271\09178b05.jpg;0.519846;4608.841250;0.512205;0.021542
