# ABLATION STUDY: No Zone Separation
# run_dir;result\ablation_no_zones_0bdd44d530_1
# run_timestamp;2025-12-01T18:30:22
# sample_path;tgs_salt/0bdd44d530.png
# generat_mask_path;N/A
# window_height;101
# window_width;101
# kernel_size;11
# visualize;False
# iterations_requested;50
# iterations_completed;50
# --- metrics per iteration ---
iteration;output_file;time_sec;mse;dssim;lbp_distance
1;result\ablation_no_zones_0bdd44d530_1\735cfd13.jpg;159.503789;1207.223409;0.327216;0.087076
2;result\ablation_no_zones_0bdd44d530_1\985c596d.jpg;76.963489;1302.303206;0.340247;0.092680
3;result\ablation_no_zones_0bdd44d530_1\c9ce752f.jpg;75.553997;839.633565;0.272435;0.169405
4;result\ablation_no_zones_0bdd44d530_1\c72d8700.jpg;76.858469;1043.290952;0.281875;0.093756
5;result\ablation_no_zones_0bdd44d530_1\a1f18d81.jpg;73.829938;1501.875600;0.304331;0.137100
6;result\ablation_no_zones_0bdd44d530_1\e471c849.jpg;71.308836;1116.218018;0.282925;0.044092
7;result\ablation_no_zones_0bdd44d530_1\7270d71c.jpg;70.120534;1301.263994;0.308945;0.032273
8;result\ablation_no_zones_0bdd44d530_1\414aca48.jpg;68.959418;962.258014;0.269485;0.147883
9;result\ablation_no_zones_0bdd44d530_1\e92c4480.jpg;72.583736;1216.358298;0.298924;0.118461
10;result\ablation_no_zones_0bdd44d530_1\d9a8057b.jpg;70.064248;885.443584;0.290421;0.134285
11;result\ablation_no_zones_0bdd44d530_1\da57958d.jpg;74.507106;886.400745;0.249676;0.047228
12;result\ablation_no_zones_0bdd44d530_1\792b617c.jpg;70.357884;881.235859;0.298847;0.054111
13;result\ablation_no_zones_0bdd44d530_1\f7207a66.jpg;69.523886;888.385354;0.275649;0.140159
14;result\ablation_no_zones_0bdd44d530_1\ce3c1a18.jpg;74.101486;831.870895;0.276290;0.088962
15;result\ablation_no_zones_0bdd44d530_1\f493a4cc.jpg;72.985466;1275.993334;0.314810;0.040557
16;result\ablation_no_zones_0bdd44d530_1\9a1e3709.jpg;73.169818;900.451916;0.288546;0.108467
17;result\ablation_no_zones_0bdd44d530_1\a0bb2f7b.jpg;73.779742;853.912852;0.297799;0.209269
18;result\ablation_no_zones_0bdd44d530_1\d2b96c34.jpg;72.181203;1003.047740;0.278098;0.095497
19;result\ablation_no_zones_0bdd44d530_1\44938c46.jpg;69.777160;1385.594648;0.327464;0.129352
20;result\ablation_no_zones_0bdd44d530_1\11ee51d0.jpg;78.450106;829.595236;0.279508;0.134424
21;result\ablation_no_zones_0bdd44d530_1\25286f23.jpg;73.480742;935.318008;0.292954;0.164055
22;result\ablation_no_zones_0bdd44d530_1\54e71b44.jpg;77.981477;1818.389472;0.312398;0.104297
23;result\ablation_no_zones_0bdd44d530_1\2de9f7ff.jpg;96.266796;981.274973;0.295878;0.142851
24;result\ablation_no_zones_0bdd44d530_1\7a9c452c.jpg;92.730509;1006.128027;0.292254;0.087507
25;result\ablation_no_zones_0bdd44d530_1\0b1c2f6c.jpg;107.241862;1376.965101;0.334463;0.070992
26;result\ablation_no_zones_0bdd44d530_1\40771534.jpg;125.066730;1437.884815;0.298269;0.037458
27;result\ablation_no_zones_0bdd44d530_1\bcbe0ba3.jpg;125.124517;811.201451;0.285872;0.111192
28;result\ablation_no_zones_0bdd44d530_1\e3c5ac20.jpg;119.978625;1096.251054;0.291225;0.054481
29;result\ablation_no_zones_0bdd44d530_1\521fd92f.jpg;119.006150;1624.147044;0.357562;0.138513
30;result\ablation_no_zones_0bdd44d530_1\5b6c8ee2.jpg;123.101629;1084.544554;0.329219;0.070954
31;result\ablation_no_zones_0bdd44d530_1\aff3b32c.jpg;124.384144;1441.645329;0.322525;0.080409
32;result\ablation_no_zones_0bdd44d530_1\4c0953ac.jpg;122.563929;1749.658269;0.351330;0.057111
33;result\ablation_no_zones_0bdd44d530_1\66abad63.jpg;122.585810;825.027938;0.251396;0.063309
34;result\ablation_no_zones_0bdd44d530_1\afbf3fc3.jpg;124.279802;843.995589;0.280544;0.193448
35;result\ablation_no_zones_0bdd44d530_1\47902e60.jpg;124.610279;1726.563180;0.361517;0.044028
36;result\ablation_no_zones_0bdd44d530_1\1843d337.jpg;124.537413;987.426429;0.286397;0.149578
37;result\ablation_no_zones_0bdd44d530_1\7b275a3e.jpg;121.941473;1087.625429;0.314064;0.069162
38;result\ablation_no_zones_0bdd44d530_1\ff88ba9b.jpg;126.978549;1938.390256;0.357247;0.136530
39;result\ablation_no_zones_0bdd44d530_1\f7cf4fad.jpg;124.637473;1163.137830;0.319198;0.092213
40;result\ablation_no_zones_0bdd44d530_1\ea9635a9.jpg;125.425041;696.120674;0.240214;0.150116
41;result\ablation_no_zones_0bdd44d530_1\5b51b302.jpg;124.887028;802.295755;0.278190;0.284969
42;result\ablation_no_zones_0bdd44d530_1\a86423fe.jpg;121.276743;689.311930;0.238225;0.218836
43;result\ablation_no_zones_0bdd44d530_1\96e6db4e.jpg;109.173068;1393.528870;0.355401;0.047547
44;result\ablation_no_zones_0bdd44d530_1\bd6a8232.jpg;102.404939;1024.160376;0.296090;0.115119
45;result\ablation_no_zones_0bdd44d530_1\7e9a1616.jpg;88.683884;1830.931771;0.379622;0.069829
46;result\ablation_no_zones_0bdd44d530_1\74ff7c25.jpg;85.758530;842.000392;0.276409;0.127321
47;result\ablation_no_zones_0bdd44d530_1\d19382d8.jpg;78.059804;1360.465249;0.284953;0.081670
48;result\ablation_no_zones_0bdd44d530_1\2efebe27.jpg;80.336248;836.694148;0.270088;0.163260
49;result\ablation_no_zones_0bdd44d530_1\a2827ac8.jpg;80.370756;1047.761788;0.280247;0.041187
50;result\ablation_no_zones_0bdd44d530_1\0b19a670.jpg;75.897128;1029.502304;0.287586;0.024346
