;Rótulos de Coluna;;;;;;;;;
Rótulos de Linha;run_metrics_149c3bb1.csv;run_metrics_19bd129f.csv;run_metrics_1c1414c4.csv;run_metrics_440d34e4.csv;run_metrics_4437042b.csv;run_metrics_50dc01c1.csv;run_metrics_8ac7ff10.csv;run_metrics_c8bb00bd.csv;run_metrics_cc9b30a2.csv;Total Geral
dssim;;;;;;;;;;
Soma de min;0.196502;0.268266;0.254412;0.260763;0.196446;0.165503;0.3321;0.227894;0.211394;2.11328
Soma de Q1;0.208476;0.284244;0.274087;0.270063;0.203687;0.193576;0.34785;0.239504;0.23258;2.254067
Soma de median;0.215942;0.289984;0.281408;0.274552;0.209047;0.20263;0.356595;0.242374;0.239879;2.312411
Soma de Q3;0.222922;0.294663;0.28759;0.279844;0.213503;0.221406;0.368704;0.247543;0.260909;2.397084
Soma de max;0.240406;0.309754;0.305702;0.296307;0.226367;0.238036;0.385665;0.257179;0.29051;2.549926
Total Soma de min;0.196502;0.268266;0.254412;0.260763;0.196446;0.165503;0.3321;0.227894;0.211394;2.11328
Total Soma de Q1;0.208476;0.284244;0.274087;0.270063;0.203687;0.193576;0.34785;0.239504;0.23258;2.254067
Total Soma de median;0.215942;0.289984;0.281408;0.274552;0.209047;0.20263;0.356595;0.242374;0.239879;2.312411
Total Soma de Q3;0.222922;0.294663;0.28759;0.279844;0.213503;0.221406;0.368704;0.247543;0.260909;2.397084
Total Soma de max;0.240406;0.309754;0.305702;0.296307;0.226367;0.238036;0.385665;0.257179;0.29051;2.549926
