;Grupo;Metrica;N;Min;Q1;Mediana;Q3;Max;;;;
2;0bdd44d530;DSSIM;7;0,2798;0,2854;0,2895;0,324;0,3413;;;;
5;1d798aa5d5;DSSIM;9;0,2711;0,2785;0,282;0,2862;0,2969;;;;
8;1bd1c8c771;DSSIM;6;0,2373;0,2402;0,248;0,2557;0,2565;;;;
11;3ce657b8f7;DSSIM;14;0,2701;0,2837;0,2936;0,2964;0,3046;;;;
1;0bdd44d530;LBP Distance;7;0,088;0,134;0,146;0,1887;0,2115;;;;
4;1d798aa5d5;LBP Distance;9;0,0448;0,0626;0,0667;0,0838;0,1008;;;;
7;1bd1c8c771;LBP Distance;6;0,0802;0,0947;0,1051;0,1091;0,1196;;;;
10;3ce657b8f7;LBP Distance;14;0,1979;0,2074;0,2108;0,2154;0,2299;;;;
0;0bdd44d530;MSE;7;770,5133;954,0256;1231,0785;2054,7543;2385,3905;;;;
3;1d798aa5d5;MSE;9;563,8357;571,2644;596,8501;630,4851;734,3958;;;;
6;1bd1c8c771;MSE;6;673,2835;709,7424;733,5052;755,8764;764,2514;;;;
9;3ce657b8f7;MSE;14;992,9299;1066,1895;1088,6922;1130,6076;1171,5023;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;7;9;6;14
;;;;;;;;;1;2;3;4
;;;;;;;;;MSE;;;
;;;;;;;;;770,5133;563,8357;673,2835;992,9299
;;;;;;;;;954,0256;571,2644;709,7424;1066,1895
;;;;;;;;;1231,0785;596,8501;733,5052;1088,6922
;;;;;;;;;2054,7543;630,4851;755,8764;1130,6076
;;;;;;;;;2385,3905;734,3958;764,2514;1171,5023
;;;;;;;;;DSSIM;;;
;;;;;;;;;0,2798;0,2711;0,2373;0,2701
;;;;;;;;;0,2854;0,2785;0,2402;0,2837
;;;;;;;;;0,2895;0,282;0,248;0,2936
;;;;;;;;;0,324;0,2862;0,2557;0,2964
;;;;;;;;;0,3413;0,2969;0,2565;0,3046
;;;;;;;;;LBP Distance;;;
;;;;;;;;;0,088;0,0448;0,0802;0,1979
;;;;;;;;;0,134;0,0626;0,0947;0,2074
;;;;;;;;;0,146;0,0667;0,1051;0,2108
;;;;;;;;;0,1887;0,0838;0,1091;0,2154
;;;;;;;;;0,2115;0,1008;0,1196;0,2299
