;Grupo;Metrica;N;Min;Q1;Mediana;Q3;Max;;;;;;;;;;;;;;;;;;;
2;0bdd44d530;DSSIM;7;0,2798;0,2854;0,2895;0,324;0,3413;;;;;;;;;;;;;;;;;;;
5;1d798aa5d5;DSSIM;9;0,2711;0,2785;0,282;0,2862;0,2969;;;;;;;;;;;;;;;;;;;
8;1bd1c8c771;DSSIM;6;0,2373;0,2402;0,248;0,2557;0,2565;;;;;;;;;;;;;;;;;;;
11;3ce657b8f7;DSSIM;14;0,2701;0,2837;0,2936;0,2964;0,3046;;;;;;;;;;;;;;;;;;;
1;0bdd44d530;LBP Distance;7;0,088;0,134;0,146;0,1887;0,2115;;;;;;;;;;;;;;;;;;;
4;1d798aa5d5;LBP Distance;9;0,0448;0,0626;0,0667;0,0838;0,1008;;;;;;;;;;;;;;;;;;;
7;1bd1c8c771;LBP Distance;6;0,0802;0,0947;0,1051;0,1091;0,1196;;;;;;;;;;;;;;;;;;;
10;3ce657b8f7;LBP Distance;14;0,1979;0,2074;0,2108;0,2154;0,2299;;;;;;;;;;;;;;;;;;;
0;0bdd44d530;MSE;7;770,5133;954,0256;1231,0785;2054,7543;2385,3905;;;;;;;;;;;;;;;;;;;
3;1d798aa5d5;MSE;9;563,8357;571,2644;596,8501;630,4851;734,3958;;;;;;;;;;;;;;;;;;;
6;1bd1c8c771;MSE;6;673,2835;709,7424;733,5052;755,8764;764,2514;;;;;;;;;;;;;;;;;;;
9;3ce657b8f7;MSE;14;992,9299;1066,1895;1088,6922;1130,6076;1171,5023;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;3,00 ;9,00 ;0,00 ;0,00 ;12,00 ;;;;7;9;6;14;36;;N;10;18;6;14;48
;;;;;;;;G1;G2;G3;G4;Total;;;;1;2;3;4;Total;;;G1;G2;G3;G4;Total
;;;;;;;;MSE;;;;;;;;MSE;;;;;;Metrica;MSE;;;;
;;;;;;;Min;0,00 ;-39,16 ;0,00 ;0,00 ;-39,16 ;;;Min;770,5133;563,8357;673,2835;992,9299;563,8357;;Min;770,5133;524,6719;673,2835;992,9299;524,6719
;;;;;;;Q1;-12,87 ;-31,38 ;0,00 ;0,00 ;-109,13 ;;;Q1;954,0256;571,2644;709,7424;1066,1895;695,3546;;Q1;941,1558;539,8875;709,7424;1066,1895;586,2247
;;;;;;;Mediana;-264,18 ;-32,01 ;0,00 ;0,00 ;-212,53 ;;;Mediana;1231,0785;596,8501;733,5052;1088,6922;979,9127;;Mediana;966,8954;564,8446;733,5052;1088,6922;767,3824
;;;;;;;Q3;-399,00 ;-35,23 ;0,00 ;0,00 ;-15,63 ;;;Q3;2054,7543;630,4851;755,8764;1130,6076;1101,8442;;Q3;1655,7532;595,2506;755,8764;1130,6076;1086,2113
;;;;;;;Max;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;;;Max;2385,3905;734,3958;764,2514;1171,5023;2385,3905;;Max;2385,3905;734,3958;764,2514;1171,5023;2385,3905
;;;;;;;;LBP Distance;;;;;;;;LBP Distance;;;;;;;DSSIM;;;;
;;;;;;;Min;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;;;Min;0,088;0,0448;0,0802;0,1979;0,0448;;Min;0,2798;0,2697;0,2373;0,2701;0,2373
;;;;;;;Q1;-0,00 ;0,00 ;0,00 ;0,00 ;-0,00 ;;;Q1;0,134;0,0626;0,0947;0,2074;0,0879;;Q1;0,2827;0,2747;0,2402;0,2837;0,2743
;;;;;;;Mediana;0,00 ;0,01 ;0,00 ;0,00 ;-0,03 ;;;Mediana;0,146;0,0667;0,1051;0,2108;0,1437;;Mediana;0,2888;0,2788;0,248;0,2936;0,2824
;;;;;;;Q3;0,01 ;0,00 ;0,00 ;0,00 ;-0,00 ;;;Q3;0,1887;0,0838;0,1091;0,2154;0,2104;;Q3;0,3133;0,2825;0,2557;0,2964;0,2903
;;;;;;;Max;0,00 ;0,01 ;0,00 ;0,00 ;0,00 ;;;Max;0,2115;0,1008;0,1196;0,2299;0,2299;;Max;0,3413;0,2969;0,2565;0,3046;0,3413
;;;;;;;;DSSIM;;;;;;;;DSSIM;;;;;;;LBP Distance;;;;
;;;;;;;Min;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;;;Min;0,2798;0,2711;0,2373;0,2701;0,2373;;Min;0,088;0,0448;0,0802;0,1979;0,0448
;;;;;;;Q1;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;;;Q1;0,2854;0,2785;0,2402;0,2837;0,275;;Q1;0,1303;0,0646;0,0947;0,2074;0,0838
;;;;;;;Mediana;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;;;Mediana;0,2895;0,282;0,248;0,2936;0,2838;;Mediana;0,146;0,0765;0,1051;0,2108;0,1145
;;;;;;;Q3;0,01 ;0,00 ;0,00 ;0,00 ;0,01 ;;;Q3;0,324;0,2862;0,2557;0,2964;0,2963;;Q3;0,1981;0,0858;0,1091;0,2154;0,2081
;;;;;;;Max;0;0;0;0;0;;;Max;0,3413;0,2969;0,2565;0,3046;0,3413;;Max;0,2115;0,1087;0,1196;0,2299;0,2299
