# run_dir;result\run_0bca43f7ff
# run_timestamp;2025-09-14T11:29:02
# sample_path;tgs_salt/0bca43f7ff.png
# sample_semantic_mask_path;tgs_salt/0bca43f7ffMask.png
# generat_mask_path;tgs_salt/0bca43f7ffMask.png
# window_height;101
# window_width;101
# kernel_size;11
# visualize;False
# iterations_requested;50
# iterations_completed;50
# --- métricas por iteração ---
iteration;output_file;time_sec;mse;dssim;lbp_distance
1;result\run_0bca43f7ff\738e1c54.jpg;43.403518;812.636604;0.197829;0.085433
2;result\run_0bca43f7ff\d73c1cd6.jpg;43.758304;836.066660;0.213304;0.085126
3;result\run_0bca43f7ff\38acc721.jpg;43.978635;832.845701;0.198049;0.154911
4;result\run_0bca43f7ff\e887e66a.jpg;43.746763;829.956279;0.213041;0.128361
5;result\run_0bca43f7ff\4a024864.jpg;50.802810;902.382806;0.216686;0.106458
6;result\run_0bca43f7ff\2de87c25.jpg;49.272106;829.942261;0.203384;0.136243
7;result\run_0bca43f7ff\14829ac7.jpg;44.152540;827.364278;0.202304;0.132763
8;result\run_0bca43f7ff\8f30738e.jpg;44.355266;843.909029;0.204322;0.137789
9;result\run_0bca43f7ff\cde0bdce.jpg;44.387966;820.075385;0.208608;0.108327
10;result\run_0bca43f7ff\24b5273b.jpg;44.762897;794.675424;0.197960;0.150695
11;result\run_0bca43f7ff\b70002c8.jpg;44.876204;833.914714;0.204095;0.098359
12;result\run_0bca43f7ff\f6c7140b.jpg;44.119053;875.470444;0.202030;0.111424
13;result\run_0bca43f7ff\0a7b2a97.jpg;44.664473;811.798745;0.211837;0.149046
14;result\run_0bca43f7ff\ad8ad0bc.jpg;44.936714;856.115087;0.208031;0.107876
15;result\run_0bca43f7ff\dbe1e743.jpg;44.483695;832.858445;0.202498;0.078959
16;result\run_0bca43f7ff\24ab4e6f.jpg;44.817917;871.281639;0.221179;0.139657
17;result\run_0bca43f7ff\d73cc10a.jpg;44.842034;891.265072;0.213569;0.080780
18;result\run_0bca43f7ff\c7230f10.jpg;44.484991;829.124890;0.216167;0.110161
19;result\run_0bca43f7ff\de8df67f.jpg;44.201699;837.051466;0.214437;0.105325
20;result\run_0bca43f7ff\9f0c621d.jpg;43.996815;858.090187;0.215059;0.113202
21;result\run_0bca43f7ff\434b82b2.jpg;44.462140;857.084207;0.211986;0.107493
22;result\run_0bca43f7ff\b2ac1cbc.jpg;42.953033;854.818449;0.201287;0.123661
23;result\run_0bca43f7ff\1113db54.jpg;41.085499;848.789825;0.217648;0.098894
24;result\run_0bca43f7ff\5e3acaa7.jpg;41.623857;835.963239;0.209486;0.193734
25;result\run_0bca43f7ff\f2e759e1.jpg;43.260690;790.695716;0.213159;0.117204
26;result\run_0bca43f7ff\c78d1da4.jpg;40.850945;788.719145;0.200939;0.093674
27;result\run_0bca43f7ff\a2365460.jpg;38.670536;834.464856;0.201761;0.116031
28;result\run_0bca43f7ff\49ddd9df.jpg;38.369499;912.837859;0.215653;0.116675
29;result\run_0bca43f7ff\e6a462fe.jpg;40.252825;826.059112;0.211124;0.135145
30;result\run_0bca43f7ff\6550ea38.jpg;39.912648;913.064405;0.204709;0.139186
31;result\run_0bca43f7ff\a8a3fdff.jpg;37.877295;804.848936;0.204897;0.109506
32;result\run_0bca43f7ff\45725502.jpg;37.791838;804.531418;0.203551;0.117822
33;result\run_0bca43f7ff\43bf669f.jpg;37.776744;814.055191;0.207535;0.076487
34;result\run_0bca43f7ff\86b029b0.jpg;37.746901;796.308107;0.196446;0.135955
35;result\run_0bca43f7ff\5bc00b0f.jpg;37.384519;863.278992;0.215065;0.131130
36;result\run_0bca43f7ff\58da1a62.jpg;37.474681;875.559553;0.217076;0.230006
37;result\run_0bca43f7ff\4fa741d2.jpg;37.602208;832.235761;0.213749;0.073075
38;result\run_0bca43f7ff\00b4a6c2.jpg;37.530865;832.247819;0.209563;0.101034
39;result\run_0bca43f7ff\516379ff.jpg;37.799616;847.225076;0.212862;0.111974
40;result\run_0bca43f7ff\f7b8551c.jpg;37.409399;790.027252;0.211286;0.070720
41;result\run_0bca43f7ff\0f18381e.jpg;37.565386;828.309676;0.214254;0.071125
42;result\run_0bca43f7ff\aff94b4c.jpg;37.650037;896.742182;0.226367;0.108601
43;result\run_0bca43f7ff\72c30608.jpg;37.808334;811.909421;0.206588;0.122971
44;result\run_0bca43f7ff\87109859.jpg;37.782125;844.762670;0.202689;0.132725
45;result\run_0bca43f7ff\21d73af9.jpg;38.096233;817.886188;0.209589;0.108236
46;result\run_0bca43f7ff\4cf096a6.jpg;37.611521;802.288697;0.204794;0.105825
47;result\run_0bca43f7ff\2cb60587.jpg;37.632416;817.979904;0.211447;0.119957
48;result\run_0bca43f7ff\f4f067c0.jpg;37.797301;781.970101;0.207814;0.133702
49;result\run_0bca43f7ff\08594449.jpg;37.897734;807.885796;0.206054;0.114456
50;result\run_0bca43f7ff\85a6e482.jpg;37.660753;863.761298;0.204341;0.113947
