# run_dir;result\run_20250913_190017_3eccce87
# run_timestamp;2025-09-13T19:21:08
# sample_path;tgs_salt/0bdd44d530.png
# sample_semantic_mask_path;tgs_salt/0bdd44d530Mask.png
# generat_mask_path;tgs_salt/0bdd44d530Mask.png
# window_height;101
# window_width;101
# kernel_size;11
# visualize;False
# iterations_requested;50
# iterations_completed;50
# --- métricas por iteração ---
iteration;output_file;time_sec;mse;dssim;lbp_distance
1;result\run_20250913_190017_3eccce87\e12afee9.jpg;23.992461;961.566709;0.279057;0.198574
2;result\run_20250913_190017_3eccce87\9d88a452.jpg;25.359712;718.119106;0.254412;0.169541
3;result\run_20250913_190017_3eccce87\1fa2b296.jpg;24.230645;951.539163;0.275279;0.274037
4;result\run_20250913_190017_3eccce87\1d47f667.jpg;24.161329;947.457700;0.287044;0.148031
5;result\run_20250913_190017_3eccce87\d62fb93a.jpg;25.456918;796.249387;0.282986;0.130475
6;result\run_20250913_190017_3eccce87\0f299ab0.jpg;26.982323;1065.257524;0.285339;0.359567
7;result\run_20250913_190017_3eccce87\f72ff900.jpg;26.342768;880.376434;0.278128;0.340443
8;result\run_20250913_190017_3eccce87\29ac8df0.jpg;23.680141;1028.183119;0.298713;0.252481
9;result\run_20250913_190017_3eccce87\a6ae71d0.jpg;24.944010;772.801294;0.262609;0.179284
10;result\run_20250913_190017_3eccce87\351d4c01.jpg;23.446353;994.739045;0.280545;0.124288
11;result\run_20250913_190017_3eccce87\03b1efd3.jpg;24.687047;850.552691;0.283797;0.109594
12;result\run_20250913_190017_3eccce87\921c14e1.jpg;24.942731;872.036859;0.275037;0.229500
13;result\run_20250913_190017_3eccce87\691ca479.jpg;24.310362;949.360847;0.279351;0.393881
14;result\run_20250913_190017_3eccce87\7e8011e8.jpg;24.556262;855.809528;0.278411;0.284115
15;result\run_20250913_190017_3eccce87\dedc27a4.jpg;24.421535;781.028429;0.263221;0.215458
16;result\run_20250913_190017_3eccce87\9993ab48.jpg;25.412951;971.623664;0.301696;0.168675
17;result\run_20250913_190017_3eccce87\61e7b822.jpg;25.151886;931.452799;0.298490;0.083647
18;result\run_20250913_190017_3eccce87\9def8165.jpg;25.732826;872.271052;0.273623;0.188685
19;result\run_20250913_190017_3eccce87\755c5ba5.jpg;25.467977;914.731693;0.281971;0.252395
20;result\run_20250913_190017_3eccce87\9dc94560.jpg;24.296547;887.229781;0.282550;0.251485
21;result\run_20250913_190017_3eccce87\5f272cab.jpg;25.121435;807.113322;0.285100;0.146287
22;result\run_20250913_190017_3eccce87\e675eef3.jpg;24.629169;863.184198;0.285109;0.279181
23;result\run_20250913_190017_3eccce87\ca008b71.jpg;25.390576;968.135967;0.305702;0.105451
24;result\run_20250913_190017_3eccce87\b238653a.jpg;24.970885;978.313205;0.272704;0.187542
25;result\run_20250913_190017_3eccce87\0582a836.jpg;24.710373;981.415057;0.282789;0.197647
26;result\run_20250913_190017_3eccce87\de537f50.jpg;24.838144;894.517008;0.278289;0.233816
27;result\run_20250913_190017_3eccce87\17362ff6.jpg;25.230816;953.296147;0.282676;0.234134
28;result\run_20250913_190017_3eccce87\23d640dd.jpg;25.519751;985.736987;0.285468;0.217982
29;result\run_20250913_190017_3eccce87\00623559.jpg;24.798213;964.328889;0.269874;0.163997
30;result\run_20250913_190017_3eccce87\c9e2bd05.jpg;24.921919;1098.808940;0.305102;0.289672
31;result\run_20250913_190017_3eccce87\9535f295.jpg;26.157235;777.369081;0.275373;0.151220
32;result\run_20250913_190017_3eccce87\6e974c5a.jpg;25.669810;937.272816;0.276338;0.140329
33;result\run_20250913_190017_3eccce87\826b6bbe.jpg;24.880153;830.897167;0.261589;0.222536
34;result\run_20250913_190017_3eccce87\03757bdd.jpg;25.202077;922.262523;0.270624;0.126827
35;result\run_20250913_190017_3eccce87\3b7a3bbf.jpg;24.262854;856.243604;0.287772;0.219689
36;result\run_20250913_190017_3eccce87\d90a599a.jpg;26.112338;933.929321;0.300365;0.140651
37;result\run_20250913_190017_3eccce87\dbd92941.jpg;24.427156;917.922263;0.289989;0.147181
38;result\run_20250913_190017_3eccce87\878cbf68.jpg;24.540077;819.015391;0.277106;0.187212
39;result\run_20250913_190017_3eccce87\d95c4dfb.jpg;25.050729;850.827762;0.285742;0.159360
40;result\run_20250913_190017_3eccce87\14b6f09e.jpg;25.389683;857.397216;0.269408;0.097516
41;result\run_20250913_190017_3eccce87\0649f411.jpg;24.941041;812.486815;0.260524;0.194639
42;result\run_20250913_190017_3eccce87\a405db0c.jpg;24.695651;859.156259;0.280844;0.214373
43;result\run_20250913_190017_3eccce87\0dfc659e.jpg;25.576979;802.385256;0.288280;0.184036
44;result\run_20250913_190017_3eccce87\de6c1544.jpg;26.127563;951.416822;0.295302;0.168891
45;result\run_20250913_190017_3eccce87\9543b968.jpg;24.920444;909.498481;0.270806;0.220555
46;result\run_20250913_190017_3eccce87\032cf383.jpg;24.852473;912.122047;0.268924;0.282083
47;result\run_20250913_190017_3eccce87\497c77eb.jpg;24.830144;994.102245;0.287827;0.136802
48;result\run_20250913_190017_3eccce87\1551bd3e.jpg;25.007014;1050.264680;0.273770;0.287123
49;result\run_20250913_190017_3eccce87\c4e739f8.jpg;24.728769;932.928340;0.298350;0.225056
50;result\run_20250913_190017_3eccce87\f388b131.jpg;25.786559;977.457504;0.297931;0.249529
