# run_dir;result\run_20250913_211128_835547f6
# run_timestamp;2025-09-13T21:26:07
# sample_path;tgs_salt/1d798aa5d5.png
# sample_semantic_mask_path;tgs_salt/1d798aa5d5Mask.png
# generat_mask_path;tgs_salt/1d798aa5d5Mask.png
# window_height;101
# window_width;101
# kernel_size;11
# visualize;False
# iterations_requested;50
# iterations_completed;50
# --- métricas por iteração ---
iteration;output_file;time_sec;mse;dssim;lbp_distance
1;result\run_20250913_211128_835547f6\2b70c4bc.jpg;19.911269;531.405254;0.277942;0.072927
2;result\run_20250913_211128_835547f6\fbcabf0b.jpg;21.699347;551.536810;0.270062;0.065662
3;result\run_20250913_211128_835547f6\e4e1b89e.jpg;19.505991;601.217430;0.287089;0.070059
4;result\run_20250913_211128_835547f6\73b7a758.jpg;19.497006;556.923439;0.268898;0.069377
5;result\run_20250913_211128_835547f6\d73ab940.jpg;21.977119;519.253995;0.269040;0.062054
6;result\run_20250913_211128_835547f6\2e6eb51c.jpg;18.333769;529.362415;0.269690;0.088634
7;result\run_20250913_211128_835547f6\05e19970.jpg;18.771065;548.226644;0.273683;0.058927
8;result\run_20250913_211128_835547f6\ca9acf80.jpg;18.610511;539.266641;0.271882;0.075343
9;result\run_20250913_211128_835547f6\93728f77.jpg;18.615491;559.931281;0.281886;0.064963
10;result\run_20250913_211128_835547f6\dd25cdd9.jpg;18.265662;541.116361;0.274523;0.103975
11;result\run_20250913_211128_835547f6\dacc12db.jpg;18.288526;535.426625;0.274581;0.066202
12;result\run_20250913_211128_835547f6\73b282b5.jpg;17.307528;545.633467;0.273407;0.073243
13;result\run_20250913_211128_835547f6\022c7078.jpg;17.092273;523.887364;0.274191;0.104469
14;result\run_20250913_211128_835547f6\549b4b7b.jpg;17.821689;537.276640;0.266016;0.079483
15;result\run_20250913_211128_835547f6\b32f6f9a.jpg;18.046506;551.679051;0.277655;0.071328
16;result\run_20250913_211128_835547f6\e343e47e.jpg;17.609387;530.359279;0.269934;0.094716
17;result\run_20250913_211128_835547f6\65f5d53b.jpg;17.795977;515.079208;0.270389;0.070157
18;result\run_20250913_211128_835547f6\27dd6243.jpg;17.738510;577.357612;0.280519;0.089253
19;result\run_20250913_211128_835547f6\22cd0db7.jpg;17.352725;541.009411;0.279382;0.070107
20;result\run_20250913_211128_835547f6\3f2601d0.jpg;17.452787;521.784727;0.266223;0.075000
21;result\run_20250913_211128_835547f6\de9da4f2.jpg;17.870964;535.811391;0.274511;0.054608
22;result\run_20250913_211128_835547f6\becf4b5b.jpg;17.385722;593.489560;0.279716;0.078544
23;result\run_20250913_211128_835547f6\9e764709.jpg;17.355673;541.418488;0.275724;0.082361
24;result\run_20250913_211128_835547f6\e88743fc.jpg;17.446847;539.852760;0.269132;0.044222
25;result\run_20250913_211128_835547f6\351bb0d2.jpg;17.560498;549.425645;0.279868;0.083607
26;result\run_20250913_211128_835547f6\a15c082c.jpg;17.264179;547.674052;0.279039;0.089160
27;result\run_20250913_211128_835547f6\b9b842ab.jpg;17.258660;544.839035;0.282560;0.081274
28;result\run_20250913_211128_835547f6\7a05e5aa.jpg;17.880236;518.863739;0.265112;0.085675
29;result\run_20250913_211128_835547f6\9e204e72.jpg;17.564405;544.316342;0.270064;0.102388
30;result\run_20250913_211128_835547f6\60f40317.jpg;17.305019;551.509264;0.281613;0.062087
31;result\run_20250913_211128_835547f6\3934a14e.jpg;16.708471;620.871777;0.296307;0.058131
32;result\run_20250913_211128_835547f6\e9362bd9.jpg;16.955266;548.321635;0.271874;0.060826
33;result\run_20250913_211128_835547f6\0fbbf38b.jpg;16.794564;553.584551;0.279373;0.083835
34;result\run_20250913_211128_835547f6\477d348b.jpg;17.276886;561.794040;0.274834;0.081009
35;result\run_20250913_211128_835547f6\e77eebe4.jpg;17.279037;541.239290;0.275999;0.085024
36;result\run_20250913_211128_835547f6\81dc8722.jpg;16.383703;549.443290;0.281741;0.084013
37;result\run_20250913_211128_835547f6\b5987f32.jpg;16.381038;513.105774;0.260763;0.053650
38;result\run_20250913_211128_835547f6\4adaa49a.jpg;16.375333;536.979218;0.272960;0.095978
39;result\run_20250913_211128_835547f6\69ee40a3.jpg;16.435674;557.506421;0.279771;0.064095
40;result\run_20250913_211128_835547f6\e40acea4.jpg;16.339292;565.184394;0.283315;0.090640
41;result\run_20250913_211128_835547f6\5c51f5f1.jpg;16.845603;532.319773;0.269480;0.070390
42;result\run_20250913_211128_835547f6\5c9b3e28.jpg;16.405168;535.025978;0.274134;0.078970
43;result\run_20250913_211128_835547f6\895f8568.jpg;16.313116;539.738457;0.284668;0.074731
44;result\run_20250913_211128_835547f6\f35ef378.jpg;16.229950;562.677385;0.270541;0.096928
45;result\run_20250913_211128_835547f6\3c7c1354.jpg;16.592160;512.408195;0.268231;0.105319
46;result\run_20250913_211128_835547f6\172a8939.jpg;16.454694;538.824331;0.276191;0.087247
47;result\run_20250913_211128_835547f6\108a8e0c.jpg;16.545090;511.830605;0.264426;0.092481
48;result\run_20250913_211128_835547f6\9d9dc147.jpg;16.445557;587.105382;0.288188;0.069877
49;result\run_20250913_211128_835547f6\e6682392.jpg;16.389119;557.453975;0.280280;0.088915
50;result\run_20250913_211128_835547f6\9d8c53fc.jpg;16.479425;579.318106;0.290948;0.098928
