# run_dir;result\run_20250913_155213_a3ad2df0
# run_timestamp;2025-09-13T16:05:57
# sample_path;tgs_salt/2a6477aee8.png
# sample_semantic_mask_path;tgs_salt/2a6477aee8Mask.png
# generat_mask_path;tgs_salt/2a6477aee8Mask.png
# window_height;101
# window_width;101
# kernel_size;11
# visualize;False
# iterations_requested;50
# iterations_completed;31
# interrupted_iteration;32
# --- métricas por iteração ---
iteration;output_file;time_sec;mse;dssim;lbp_distance
1;result\run_20250913_155213_a3ad2df0\7ed82e9d.jpg;27.187074;1006.754632;0.355690;0.112762
2;result\run_20250913_155213_a3ad2df0\063f0ff7.jpg;27.695558;992.387511;0.337736;0.059733
3;result\run_20250913_155213_a3ad2df0\e65c287b.jpg;26.272383;1072.829919;0.347777;0.061106
4;result\run_20250913_155213_a3ad2df0\341bd7d4.jpg;26.582937;1103.981178;0.342811;0.087936
5;result\run_20250913_155213_a3ad2df0\4a6026f6.jpg;25.976426;1149.498579;0.363417;0.097283
6;result\run_20250913_155213_a3ad2df0\764b60c9.jpg;26.185109;1145.654740;0.347922;0.082027
7;result\run_20250913_155213_a3ad2df0\30dc16b8.jpg;26.032751;981.632781;0.332100;0.119355
8;result\run_20250913_155213_a3ad2df0\7dfa1f0a.jpg;25.981622;913.042349;0.354081;0.094974
9;result\run_20250913_155213_a3ad2df0\9d9d346c.jpg;26.722953;1058.259876;0.372158;0.079044
10;result\run_20250913_155213_a3ad2df0\3277f440.jpg;26.888318;1230.747280;0.370749;0.095587
11;result\run_20250913_155213_a3ad2df0\65f8b474.jpg;26.878693;1205.682972;0.385665;0.080421
12;result\run_20250913_155213_a3ad2df0\7daf98d4.jpg;26.994212;1007.739437;0.375575;0.090357
13;result\run_20250913_155213_a3ad2df0\70754413.jpg;26.935987;952.530242;0.340393;0.096314
14;result\run_20250913_155213_a3ad2df0\db37b328.jpg;26.733442;1117.766788;0.378214;0.069793
15;result\run_20250913_155213_a3ad2df0\af21dadf.jpg;25.128790;1087.943633;0.382134;0.095622
16;result\run_20250913_155213_a3ad2df0\7feb116e.jpg;25.173521;1231.950789;0.356595;0.062670
17;result\run_20250913_155213_a3ad2df0\f5f75fd6.jpg;24.822575;1159.808548;0.363828;0.096111
18;result\run_20250913_155213_a3ad2df0\d15e7c69.jpg;27.237979;1002.502108;0.374407;0.070155
19;result\run_20250913_155213_a3ad2df0\6c2db79d.jpg;27.692893;912.500343;0.343772;0.114716
20;result\run_20250913_155213_a3ad2df0\a225cf05.jpg;26.983497;1001.545339;0.359063;0.085248
21;result\run_20250913_155213_a3ad2df0\457b7ec8.jpg;26.921700;1089.462602;0.357915;0.118168
22;result\run_20250913_155213_a3ad2df0\3fd84767.jpg;27.250991;842.586609;0.337350;0.114673
23;result\run_20250913_155213_a3ad2df0\2328f302.jpg;27.109926;1055.197236;0.354367;0.092007
24;result\run_20250913_155213_a3ad2df0\96d52837.jpg;27.000831;1011.940104;0.356862;0.117280
25;result\run_20250913_155213_a3ad2df0\e566eb75.jpg;26.788105;950.877365;0.355020;0.095518
26;result\run_20250913_155213_a3ad2df0\4b9155a2.jpg;27.354341;909.604647;0.349954;0.050387
27;result\run_20250913_155213_a3ad2df0\9b0014dd.jpg;27.135924;1068.594157;0.366660;0.098294
28;result\run_20250913_155213_a3ad2df0\aa11970d.jpg;26.297727;1124.498775;0.356588;0.109270
29;result\run_20250913_155213_a3ad2df0\200eb1b1.jpg;27.030316;1205.627389;0.373808;0.061097
30;result\run_20250913_155213_a3ad2df0\cc94faab.jpg;26.226997;1138.215763;0.338274;0.086675
31;result\run_20250913_155213_a3ad2df0\fdfa80bf.jpg;25.081664;1043.060974;0.362542;0.090973
