# run_dir;result\run_20250913_162222_3728be04
# run_timestamp;2025-09-13T16:39:09
# sample_path;tgs_salt/1bd1c8c771.png
# sample_semantic_mask_path;tgs_salt/1bd1c8c771Mask.png
# generat_mask_path;tgs_salt/1bd1c8c771Mask.png
# window_height;101
# window_width;101
# kernel_size;11
# visualize;False
# iterations_requested;50
# iterations_completed;50
# --- métricas por iteração ---
iteration;output_file;time_sec;mse;dssim;lbp_distance
1;result\run_20250913_162222_3728be04\b1e5abf5.jpg;20.682602;651.205274;0.240308;0.132543
2;result\run_20250913_162222_3728be04\48651e8a.jpg;19.703683;791.424272;0.253039;0.130593
3;result\run_20250913_162222_3728be04\74914cd9.jpg;20.721032;656.592589;0.232967;0.176110
4;result\run_20250913_162222_3728be04\b3f79347.jpg;19.584847;673.628762;0.239616;0.164446
5;result\run_20250913_162222_3728be04\7b713151.jpg;20.367352;757.469268;0.247742;0.142240
6;result\run_20250913_162222_3728be04\c2ac907c.jpg;21.217710;689.546809;0.233296;0.147135
7;result\run_20250913_162222_3728be04\3efc2d0b.jpg;20.354669;731.564454;0.257179;0.143668
8;result\run_20250913_162222_3728be04\c8d01c29.jpg;22.143772;723.859916;0.243954;0.138354
9;result\run_20250913_162222_3728be04\393442d4.jpg;22.009426;684.448780;0.238127;0.164041
10;result\run_20250913_162222_3728be04\40bf8d9c.jpg;23.132452;718.021567;0.241105;0.155724
11;result\run_20250913_162222_3728be04\7996715c.jpg;20.432240;686.142927;0.239921;0.202616
12;result\run_20250913_162222_3728be04\03770140.jpg;20.373239;697.130477;0.235434;0.144944
13;result\run_20250913_162222_3728be04\6f402a99.jpg;21.237158;739.603568;0.242540;0.131568
14;result\run_20250913_162222_3728be04\fc9c324f.jpg;20.461204;750.209979;0.242539;0.168647
15;result\run_20250913_162222_3728be04\2a5c65bf.jpg;20.777076;722.422017;0.240121;0.160183
16;result\run_20250913_162222_3728be04\8a4c2997.jpg;20.713426;781.031762;0.241086;0.133959
17;result\run_20250913_162222_3728be04\1475eebd.jpg;20.827596;696.620920;0.238206;0.131360
18;result\run_20250913_162222_3728be04\6c608f85.jpg;20.725727;741.618273;0.243504;0.165704
19;result\run_20250913_162222_3728be04\231ec3a7.jpg;20.701595;673.427899;0.244103;0.151625
20;result\run_20250913_162222_3728be04\c45de511.jpg;20.831663;709.702872;0.246948;0.145225
21;result\run_20250913_162222_3728be04\92c5544e.jpg;20.796575;729.718361;0.244704;0.151309
22;result\run_20250913_162222_3728be04\e1339af1.jpg;20.621971;708.414665;0.239853;0.158159
23;result\run_20250913_162222_3728be04\18fc4874.jpg;20.568544;794.369768;0.250563;0.192305
24;result\run_20250913_162222_3728be04\11b64ac9.jpg;20.899715;672.734928;0.249240;0.141499
25;result\run_20250913_162222_3728be04\45157f81.jpg;20.260976;682.658857;0.244108;0.120821
26;result\run_20250913_162222_3728be04\30b38345.jpg;19.673412;731.818841;0.240618;0.135745
27;result\run_20250913_162222_3728be04\1747f08f.jpg;19.364944;730.352907;0.249760;0.128317
28;result\run_20250913_162222_3728be04\3082ebee.jpg;19.343489;703.588276;0.236300;0.133666
29;result\run_20250913_162222_3728be04\c01a28f2.jpg;19.405069;734.608568;0.240322;0.200392
30;result\run_20250913_162222_3728be04\26673bd6.jpg;19.549512;681.682482;0.242210;0.141626
31;result\run_20250913_162222_3728be04\63905ac3.jpg;19.491368;728.974904;0.236236;0.140987
32;result\run_20250913_162222_3728be04\74384a01.jpg;19.535750;665.687286;0.241355;0.125402
33;result\run_20250913_162222_3728be04\71e9abe2.jpg;19.572417;741.359180;0.239224;0.165771
34;result\run_20250913_162222_3728be04\398f4d04.jpg;19.352611;718.911773;0.255573;0.168762
35;result\run_20250913_162222_3728be04\fa843434.jpg;19.275502;684.760220;0.233582;0.173099
36;result\run_20250913_162222_3728be04\dc9725f7.jpg;19.293822;775.982453;0.254902;0.123241
37;result\run_20250913_162222_3728be04\ca687371.jpg;19.340222;753.593569;0.245797;0.159545
38;result\run_20250913_162222_3728be04\3fba9bb1.jpg;19.373480;712.942163;0.235020;0.116013
39;result\run_20250913_162222_3728be04\b07e6d59.jpg;19.359141;690.925694;0.239805;0.191614
40;result\run_20250913_162222_3728be04\81be09fa.jpg;19.286137;755.048231;0.249430;0.170215
41;result\run_20250913_162222_3728be04\4be3f3fd.jpg;19.368983;708.141359;0.234358;0.137932
42;result\run_20250913_162222_3728be04\8d542f8a.jpg;19.457587;726.421233;0.249787;0.161171
43;result\run_20250913_162222_3728be04\5c3b0ef0.jpg;19.252310;677.177434;0.239467;0.175224
44;result\run_20250913_162222_3728be04\c76a7ee4.jpg;20.112630;719.198902;0.252599;0.119190
45;result\run_20250913_162222_3728be04\4b81e52f.jpg;19.645033;696.419469;0.246543;0.163382
46;result\run_20250913_162222_3728be04\ec295375.jpg;19.378230;746.538967;0.248718;0.183632
47;result\run_20250913_162222_3728be04\6964af02.jpg;19.422765;752.532399;0.250550;0.153360
48;result\run_20250913_162222_3728be04\a73d4125.jpg;19.684927;680.927066;0.227894;0.184766
49;result\run_20250913_162222_3728be04\eb3a77de.jpg;19.474580;713.014116;0.244419;0.128246
50;result\run_20250913_162222_3728be04\2bb3f53e.jpg;19.373378;758.292716;0.243482;0.158884
