# run_dir;result\run_2ee6e81e4b
# run_timestamp;2025-09-14T11:10:48
# sample_path;tgs_salt/2ee6e81e4b.png
# sample_semantic_mask_path;tgs_salt/2ee6e81e4bMask.png
# generat_mask_path;tgs_salt/2ee6e81e4bMask.png
# window_height;101
# window_width;101
# kernel_size;11
# visualize;False
# iterations_requested;50
# iterations_completed;50
# --- métricas por iteração ---
iteration;output_file;time_sec;mse;dssim;lbp_distance
1;result\run_2ee6e81e4b\0dc5be76.jpg;18.600938;419.174493;0.195060;0.240607
2;result\run_2ee6e81e4b\219d9a3d.jpg;18.932175;647.512107;0.227035;0.319697
3;result\run_2ee6e81e4b\fb116733.jpg;19.707101;512.455740;0.199714;0.259682
4;result\run_2ee6e81e4b\47e3b76c.jpg;19.964784;468.317322;0.201914;0.276944
5;result\run_2ee6e81e4b\8fcba7c6.jpg;20.175514;540.044800;0.179825;0.302559
6;result\run_2ee6e81e4b\5b0b1a1d.jpg;19.755645;564.570238;0.234590;0.249538
7;result\run_2ee6e81e4b\d9ea0073.jpg;20.014915;664.015097;0.231907;0.298017
8;result\run_2ee6e81e4b\457694c0.jpg;19.819772;559.864033;0.237136;0.225786
9;result\run_2ee6e81e4b\3a2686f1.jpg;19.803513;453.220567;0.193526;0.285808
10;result\run_2ee6e81e4b\72599c0b.jpg;19.817605;454.177630;0.203814;0.272866
11;result\run_2ee6e81e4b\7356ce29.jpg;19.905310;417.752769;0.188974;0.249598
12;result\run_2ee6e81e4b\66c5b407.jpg;19.719281;566.622194;0.198242;0.236493
13;result\run_2ee6e81e4b\ee0d037e.jpg;23.722426;500.798059;0.178225;0.234272
14;result\run_2ee6e81e4b\f5179420.jpg;24.481958;524.412116;0.216854;0.280057
15;result\run_2ee6e81e4b\e6ba3495.jpg;25.237970;523.807372;0.197707;0.260998
16;result\run_2ee6e81e4b\8faf7247.jpg;20.383739;410.415057;0.193724;0.254636
17;result\run_2ee6e81e4b\4e46bec6.jpg;20.400482;547.607293;0.216528;0.308659
18;result\run_2ee6e81e4b\c333ac22.jpg;20.306200;521.878051;0.197105;0.244115
19;result\run_2ee6e81e4b\d783f69a.jpg;20.279687;538.687188;0.191826;0.286826
20;result\run_2ee6e81e4b\773ecb41.jpg;20.804577;515.649838;0.198108;0.243670
21;result\run_2ee6e81e4b\0c194731.jpg;20.597529;462.054897;0.195854;0.231733
22;result\run_2ee6e81e4b\9d17313d.jpg;20.566977;448.273797;0.198324;0.230877
23;result\run_2ee6e81e4b\8c7f9a8b.jpg;20.453748;419.104794;0.181452;0.196198
24;result\run_2ee6e81e4b\3f01869c.jpg;20.701977;522.936673;0.221490;0.222200
25;result\run_2ee6e81e4b\bba055f4.jpg;20.905004;524.427311;0.221155;0.262967
26;result\run_2ee6e81e4b\5197a720.jpg;20.727035;657.292618;0.238036;0.274949
27;result\run_2ee6e81e4b\0225b094.jpg;20.996455;626.103029;0.224287;0.232064
28;result\run_2ee6e81e4b\0d9ddd73.jpg;20.733705;421.452701;0.190763;0.259671
29;result\run_2ee6e81e4b\85672c7b.jpg;20.208768;428.198216;0.183233;0.266023
30;result\run_2ee6e81e4b\ec12e169.jpg;20.539886;606.039702;0.224904;0.239747
31;result\run_2ee6e81e4b\1bbd4ecc.jpg;20.737489;582.742084;0.212749;0.329228
32;result\run_2ee6e81e4b\50809533.jpg;20.374976;490.032154;0.211806;0.240410
33;result\run_2ee6e81e4b\85150387.jpg;20.595766;453.968238;0.175525;0.219460
34;result\run_2ee6e81e4b\95540792.jpg;20.816573;406.688854;0.165503;0.260291
35;result\run_2ee6e81e4b\59a3baef.jpg;20.654361;624.397020;0.226827;0.251554
36;result\run_2ee6e81e4b\781463bb.jpg;20.498542;620.566905;0.228429;0.249897
37;result\run_2ee6e81e4b\9f5cceeb.jpg;20.616402;574.978924;0.220120;0.263136
38;result\run_2ee6e81e4b\58f13281.jpg;20.434169;510.877561;0.191129;0.272386
39;result\run_2ee6e81e4b\d382641e.jpg;20.785646;481.780022;0.199353;0.261956
40;result\run_2ee6e81e4b\7903df86.jpg;20.714108;463.589256;0.212860;0.268584
41;result\run_2ee6e81e4b\fa43b018.jpg;20.709169;550.393001;0.225769;0.263320
42;result\run_2ee6e81e4b\9eae2c86.jpg;20.446488;459.365552;0.180981;0.207194
43;result\run_2ee6e81e4b\4254da65.jpg;20.051386;612.098128;0.224857;0.315111
44;result\run_2ee6e81e4b\adf74ba8.jpg;19.981759;490.657190;0.197264;0.254447
45;result\run_2ee6e81e4b\43116bf4.jpg;20.092929;491.295461;0.178276;0.258445
46;result\run_2ee6e81e4b\1fb4464e.jpg;20.369884;518.292422;0.217205;0.228730
47;result\run_2ee6e81e4b\6b84aa55.jpg;20.296820;464.793158;0.208850;0.215023
48;result\run_2ee6e81e4b\c561962d.jpg;20.234761;538.938339;0.229083;0.214035
49;result\run_2ee6e81e4b\cb58398c.jpg;20.056852;505.035585;0.207160;0.281601
50;result\run_2ee6e81e4b\408c9c80.jpg;20.208186;495.552201;0.203345;0.237980
