# run_dir;result\run_2ee6e81e4b
# run_timestamp;2025-09-15T19:11:27
# sample_path;tgs_salt/2ee6e81e4b.png
# sample_semantic_mask_path;tgs_salt/2ee6e81e4bMask.png
# generat_mask_path;tgs_salt/2ee6e81e4bMask.png
# window_height;101
# window_width;101
# kernel_size;11
# visualize;False
# iterations_requested;50
# iterations_completed;50
# --- métricas por iteração ---
iteration;output_file;time_sec;mse;dssim;lbp_distance
1;result\run_2ee6e81e4b\733d3436.jpg;15.372688;458.326733;0.202977;0.257707
2;result\run_2ee6e81e4b\6766c50e.jpg;15.198944;529.703166;0.203885;0.203326
3;result\run_2ee6e81e4b\c50e8c9c.jpg;15.027657;526.919322;0.203531;0.251273
4;result\run_2ee6e81e4b\0f6af867.jpg;15.129732;443.822861;0.197840;0.193274
5;result\run_2ee6e81e4b\cb3ed8fe.jpg;16.647596;574.202333;0.204363;0.264192
6;result\run_2ee6e81e4b\55e96a30.jpg;16.829238;439.213607;0.195158;0.216659
7;result\run_2ee6e81e4b\1228d172.jpg;17.049591;583.601804;0.212405;0.210862
8;result\run_2ee6e81e4b\e616ea2e.jpg;16.411203;472.618077;0.176693;0.258293
9;result\run_2ee6e81e4b\11c7297e.jpg;16.344922;515.939418;0.204461;0.202513
10;result\run_2ee6e81e4b\cbfd606d.jpg;15.387148;458.072542;0.194662;0.246397
11;result\run_2ee6e81e4b\6f5f2f6c.jpg;15.577481;549.924517;0.196280;0.264175
12;result\run_2ee6e81e4b\7c9a1835.jpg;15.572785;481.784237;0.228215;0.210050
13;result\run_2ee6e81e4b\0afd76b1.jpg;15.024166;478.344182;0.222337;0.229274
14;result\run_2ee6e81e4b\3d680777.jpg;14.871045;549.598471;0.227378;0.276282
15;result\run_2ee6e81e4b\25636f34.jpg;15.891807;572.214979;0.198018;0.275432
16;result\run_2ee6e81e4b\90324556.jpg;15.566099;512.482502;0.205045;0.275320
17;result\run_2ee6e81e4b\1139c926.jpg;16.053550;524.991079;0.212359;0.220277
18;result\run_2ee6e81e4b\35a9118c.jpg;15.921314;544.665229;0.209700;0.266417
19;result\run_2ee6e81e4b\33775fa3.jpg;15.530000;522.113910;0.198084;0.244885
20;result\run_2ee6e81e4b\3a064473.jpg;15.674922;537.269974;0.216980;0.242699
21;result\run_2ee6e81e4b\71862c40.jpg;15.565124;453.432801;0.194427;0.216979
22;result\run_2ee6e81e4b\d66265b3.jpg;15.654189;578.771199;0.206443;0.239678
23;result\run_2ee6e81e4b\241d5b98.jpg;15.961111;509.419665;0.219660;0.303772
24;result\run_2ee6e81e4b\c8fa9602.jpg;15.759971;561.690717;0.220935;0.263584
25;result\run_2ee6e81e4b\925d9f1c.jpg;16.256946;446.156357;0.189400;0.213939
26;result\run_2ee6e81e4b\d1c510d8.jpg;18.200117;454.867366;0.189171;0.265506
27;result\run_2ee6e81e4b\c6ba37bc.jpg;17.837561;446.449956;0.185209;0.231641
28;result\run_2ee6e81e4b\3e3c9894.jpg;15.364498;504.831291;0.227420;0.269164
29;result\run_2ee6e81e4b\4d226cf1.jpg;15.194433;537.514851;0.214240;0.274544
30;result\run_2ee6e81e4b\1583b093.jpg;15.204301;447.925694;0.202798;0.250326
31;result\run_2ee6e81e4b\284f4b2d.jpg;15.083195;435.024213;0.186015;0.216876
32;result\run_2ee6e81e4b\a8fa3dc2.jpg;15.121140;561.066758;0.202458;0.216058
33;result\run_2ee6e81e4b\0e38ed58.jpg;14.997125;525.745809;0.222738;0.200566
34;result\run_2ee6e81e4b\be5524c6.jpg;15.199998;479.891971;0.212777;0.220080
35;result\run_2ee6e81e4b\f56f8321.jpg;15.122763;601.308009;0.212053;0.267488
36;result\run_2ee6e81e4b\7ef95378.jpg;15.058467;457.929811;0.193763;0.270843
37;result\run_2ee6e81e4b\20977501.jpg;15.051057;471.525145;0.189737;0.231219
38;result\run_2ee6e81e4b\6a12de9d.jpg;15.194758;516.130575;0.194699;0.237230
39;result\run_2ee6e81e4b\cf057473.jpg;16.205670;455.388295;0.188265;0.250518
40;result\run_2ee6e81e4b\a91d20ae.jpg;15.382255;498.277718;0.218829;0.207219
41;result\run_2ee6e81e4b\c6470dcc.jpg;15.389232;389.264092;0.167821;0.255417
42;result\run_2ee6e81e4b\4f27a982.jpg;15.418660;453.936085;0.210984;0.209164
43;result\run_2ee6e81e4b\414aac0d.jpg;15.541205;410.720518;0.189260;0.239513
44;result\run_2ee6e81e4b\65e9df29.jpg;15.469491;462.342613;0.196109;0.278087
45;result\run_2ee6e81e4b\55ad0501.jpg;15.503857;432.184786;0.184089;0.259976
46;result\run_2ee6e81e4b\55a6abaf.jpg;15.788020;530.931281;0.202703;0.262093
47;result\run_2ee6e81e4b\7f91484a.jpg;15.348869;431.700716;0.200512;0.218006
48;result\run_2ee6e81e4b\2e5869fd.jpg;15.137218;423.033330;0.185010;0.240868
49;result\run_2ee6e81e4b\ef1a9097.jpg;15.214130;405.478679;0.175137;0.217844
50;result\run_2ee6e81e4b\e4ab56a4.jpg;15.548524;439.285266;0.195088;0.183943
