# run_dir;result\run_5f43816c42_1;;;;
# run_timestamp;2025-09-16T08:09:46;;;;
# sample_path;tgs_salt/5f43816c42.png;;;;
# sample_semantic_mask_path;tgs_salt/5f43816c42Mask.png;;;;
# generat_mask_path;tgs_salt/5f43816c42Mask.png;;;;
# window_height;101;;;;
# window_width;101;;;;
# kernel_size;11;;;;
# visualize;False;;;;
# iterations_requested;100;;;;
# iterations_completed;100;;;;
# --- métricas por iteração ---;;;;;
iteration;output_file;time_sec;mse;dssim;lbp_distance
1;result\run_5f43816c42_1\4bc8decc.jpg;19.475103;822.313891;0.257208;0.166032
2;result\run_5f43816c42_1\8ac64c64.jpg;20.509762;820.186354;0.263667;0.170712
3;result\run_5f43816c42_1\535a0c3e.jpg;19.818873;826.466817;0.244279;0.218758
4;result\run_5f43816c42_1\0151c776.jpg;19.644366;704.176551;0.238914;0.172362
5;result\run_5f43816c42_1\b264c4a6.jpg;20.108674;708.021272;0.262047;0.207106
6;result\run_5f43816c42_1\effdcff3.jpg;21.135967;722.138418;0.243663;0.374609
7;result\run_5f43816c42_1\719716f3.jpg;20.752047;754.915106;0.240005;0.14384
8;result\run_5f43816c42_1\9414f57f.jpg;17.548416;750.033036;0.244345;0.184831
9;result\run_5f43816c42_1\a6218fbe.jpg;17.577593;678.916675;0.24714;0.091094
10;result\run_5f43816c42_1\fe798915.jpg;20.333467;827.352318;0.251877;0.104326
11;result\run_5f43816c42_1\5355118e.jpg;20.050167;813.668856;0.260339;0.195566
12;result\run_5f43816c42_1\9c2452b7.jpg;20.571345;718.844623;0.242447;0.122632
13;result\run_5f43816c42_1\6809a819.jpg;19.259117;793.458975;0.246306;0.242253
14;result\run_5f43816c42_1\cf7f9790.jpg;19.328184;643.794922;0.229795;0.177001
15;result\run_5f43816c42_1\1a894c45.jpg;19.780579;826.487011;0.245661;0.16103
16;result\run_5f43816c42_1\ae40cc0e.jpg;19.591706;675.091364;0.234837;0.228615
17;result\run_5f43816c42_1\d3d910d1.jpg;19.551506;765.591707;0.244733;0.159652
18;result\run_5f43816c42_1\83200c08.jpg;18.909603;786.77414;0.254758;0.19816
19;result\run_5f43816c42_1\153db50c.jpg;17.910553;737.982551;0.251257;0.176528
20;result\run_5f43816c42_1\9064043b.jpg;18.400727;745.106264;0.251479;0.143596
21;result\run_5f43816c42_1\8a3163cb.jpg;18.560412;806.087638;0.263933;0.118121
22;result\run_5f43816c42_1\6d296550.jpg;18.175488;737.11989;0.259065;0.241272
23;result\run_5f43816c42_1\0d685399.jpg;18.495674;673.218116;0.224285;0.202112
24;result\run_5f43816c42_1\22e14b83.jpg;17.61196;766.896579;0.240869;0.172331
25;result\run_5f43816c42_1\de2ffef6.jpg;19.525731;686.671503;0.234208;0.16478
26;result\run_5f43816c42_1\b246e1f1.jpg;19.535729;775.953828;0.268162;0.193323
27;result\run_5f43816c42_1\1f1368df.jpg;19.244758;855.113616;0.258682;0.172864
28;result\run_5f43816c42_1\d98c8e4d.jpg;19.115892;775.414371;0.261075;0.167914
29;result\run_5f43816c42_1\339f7f27.jpg;18.798994;777.65523;0.238816;0.305016
